City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Wanning,CN,18.8003,110.3967,77.05,81,100,6.2,overcast clouds
219,Vestmannaeyjar,IS,63.4427,-20.2734,46.98,94,99,18.43,light rain
220,Tanhacu,BR,-14.0214,-41.2481,76.17,79,100,5.19,overcast clouds
221,Colesberg,ZA,-30.72,25.0972,51.44,86,100,14.58,moderate rain
222,Ilulissat,GL,69.2167,-51.1,17.62,67,75,8.05,light snow
223,Carpentersville,US,42.1211,-88.2579,46.54,48,100,9.22,overcast clouds
224,Kantang,TH,7.4054,99.5156,77.38,90,98,2.01,overcast clouds
225,Boende,CD,-0.2167,20.8667,73.24,87,21,3.02,few clouds
226,Fortuna,US,40.5982,-124.1573,52.99,61,75,12.66,broken clouds
227,Nhamunda,BR,-2.1861,-56.7131,81.27,85,100,1.52,overcast clouds
228,Fort Nelson,CA,58.8053,-122.7002,18.99,63,75,5.75,broken clouds
229,Rincon,US,32.296,-81.2354,78.76,65,100,9.22,overcast clouds
230,Kampot,KH,10.6167,104.1833,80.65,80,49,2.64,light rain
231,Nemuro,JP,43.3236,145.575,32.54,65,3,4.88,clear sky
232,Garmsar,IR,35.2182,52.3409,61.57,52,24,3.0,light rain
233,Owando,CG,-0.4819,15.8999,77.47,77,56,2.53,broken clouds
234,Basoko,CD,1.2391,23.616,72.27,95,61,2.62,broken clouds
235,Pevek,RU,69.7008,170.3133,6.6,93,100,4.88,overcast clouds
236,Faanui,PF,-16.4833,-151.75,81.9,72,4,15.5,light rain
237,Ray,IN,23.6833,85.05,83.17,15,82,3.29,broken clouds
238,Honolulu,US,21.3069,-157.8583,76.82,85,75,13.8,moderate rain
239,Pangnirtung,CA,66.1451,-65.7125,6.8,72,40,2.3,scattered clouds
240,Racine,US,42.7495,-88.0751,44.87,49,99,14.97,overcast clouds
241,Baruun-Urt,MN,46.6806,113.2792,37.44,49,30,6.02,scattered clouds
242,Lapas,GR,38.1,21.4167,67.69,77,75,0.0,broken clouds
243,Georgetown,MY,5.4112,100.3354,82.33,94,20,4.61,few clouds
244,Acala,MX,16.5667,-92.8,95.22,29,35,5.44,scattered clouds
245,Muskego,US,42.9058,-88.139,44.49,49,100,16.11,overcast clouds
246,Bosaso,SO,11.2842,49.1816,82.35,73,7,1.81,clear sky
247,Cayenne,GF,4.9333,-52.3333,84.24,5,75,10.36,broken clouds
248,Limbdi,IN,22.5667,71.8,85.66,36,0,8.52,clear sky
249,Mayo,US,38.8876,-76.5119,80.13,35,0,17.27,clear sky
250,Sandakan,MY,5.8402,118.1179,80.28,88,20,3.44,few clouds
251,Abong Mbang,CM,3.9833,13.1833,72.54,77,17,4.12,light rain
252,Bairiki,KI,1.3292,172.9752,78.8,94,40,5.75,scattered clouds
253,Komsomolskiy,UZ,40.4272,71.7189,63.32,45,6,2.3,clear sky
254,Biak,ID,-0.9131,122.8766,76.75,85,100,2.73,overcast clouds
255,Porto Walter,BR,-8.2686,-72.7439,82.99,68,86,3.62,overcast clouds
256,Victoria,HK,22.2855,114.1577,71.38,76,100,15.99,overcast clouds
257,Nikel,RU,69.4128,30.222,37.58,90,100,16.91,overcast clouds
258,Airai,TL,-8.9266,125.4092,59.32,93,62,2.62,broken clouds
259,Nampula,MZ,-15.1165,39.2666,76.95,94,75,6.91,broken clouds
260,Paita,PE,-5.0892,-81.1144,73.35,71,16,18.66,few clouds
261,Great Yarmouth,GB,52.6083,1.7305,52.41,83,12,8.5,few clouds
262,Caborca,MX,30.5838,-111.101,86.11,7,100,12.3,overcast clouds
263,Doka,SD,13.5167,35.7667,86.77,36,100,5.57,light rain
264,Emilio Carranza,MX,19.9711,-96.6114,87.57,63,5,14.09,clear sky
265,Inhambane,MZ,-23.865,35.3833,75.18,94,75,3.44,broken clouds
